ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval+Stemming,30907,SUMM.TXT,0.10758,0.25600,0.15149,3

ROUGE-L+StopWordRemoval+Stemming,32097,SUMM.TXT,0.26397,0.37411,0.30953,4

ROUGE-1+StopWordRemoval+Stemming,32097,SUMM.TXT,0.32614,0.38690,0.35393,4

ROUGE-2+StopWordRemoval+Stemming,32097,SUMM.TXT,0.21886,0.16504,0.18818,4

ROUGE-SU4+StopWordRemoval+Stemming,32097,SUMM.TXT,0.24999,0.15633,0.19237,4

ROUGE-L+StopWordRemoval+Stemming,32092,SUMM.TXT,0.12026,0.39136,0.18398,4

ROUGE-1+StopWordRemoval+Stemming,32092,SUMM.TXT,0.13793,0.45690,0.21189,4

ROUGE-2+StopWordRemoval+Stemming,32092,SUMM.TXT,0.01935,0.06870,0.03020,4

ROUGE-SU4+StopWordRemoval+Stemming,32092,SUMM.TXT,0.07461,0.15871,0.10150,4

ROUGE-L+StopWordRemoval+Stemming,31685,SUMM.TXT,0.16307,0.67347,0.26256,3

ROUGE-1+StopWordRemoval+Stemming,31685,SUMM.TXT,0.14757,0.79085,0.24872,3

ROUGE-2+StopWordRemoval+Stemming,31685,SUMM.TXT,0.13912,0.58746,0.22496,3

ROUGE-SU4+StopWordRemoval+Stemming,31685,SUMM.TXT,0.16356,0.56400,0.25358,3

